,Average Latency (ms),Average Latency (ms),Average Latency (ms),Average Latency (ms),MRR,MRR,MRR,MRR,Accuracy@1,Accuracy@1,Accuracy@1,Accuracy@1
Model,BM25 (Sparse),Bi-Encoder (Dense),Cross-Encoder (Context),Two-Stage (Dense + CE),BM25 (Sparse),Bi-Encoder (Dense),Cross-Encoder (Context),Two-Stage (Dense + CE),BM25 (Sparse),Bi-Encoder (Dense),Cross-Encoder (Context),Two-Stage (Dense + CE)
Category,,,,,,,,,,,,
Contextual Trap,0.11712312698364258,6.708860397338867,398.9558219909668,70.8845853805542,0.20833333333333331,0.20833333333333331,0.16666666666666666,0.375,0.0,0.0,0.0,0.25
Exact Keyword,0.11914968490600586,5.552709102630615,386.59894466400146,70.93387842178345,0.625,0.375,0.875,0.5,0.5,0.25,0.75,0.5
Out of Domain,0.0718832015991211,6.586909294128418,378.8108825683594,76.95043087005615,,,,,,,,
Synonyms,0.09077787399291992,5.078911781311035,397.90380001068115,67.0078992843628,0.0,0.5,0.20833333333333331,0.5,0.0,0.5,0.0,0.5
Typo Robustness,0.08082389831542969,5.520343780517578,387.21591234207153,70.29092311859131,0.75,0.375,0.75,0.5,0.75,0.25,0.75,0.5
