,Average Latency (ms),Average Latency (ms),Average Latency (ms),Average Latency (ms),MRR,MRR,MRR,MRR,Accuracy@1,Accuracy@1,Accuracy@1,Accuracy@1
Model,BM25 (Sparse),Bi-Encoder (Dense),Cross-Encoder (Context),Two-Stage (Dense + CE),BM25 (Sparse),Bi-Encoder (Dense),Cross-Encoder (Context),Two-Stage (Dense + CE),BM25 (Sparse),Bi-Encoder (Dense),Cross-Encoder (Context),Two-Stage (Dense + CE)
Category,,,,,,,,,,,,
Contextual Trap,0.10716915130615234,4.860281944274902,457.555890083313,77.4652361869812,0.125,0.5,0.08333333333333333,0.25,0.0,0.25,0.0,0.0
Exact Keyword,0.09942054748535156,4.983007907867432,411.33755445480347,78.83363962173462,0.625,0.875,0.8333333333333333,0.8333333333333333,0.5,0.75,0.75,0.75
Out of Domain,0.06681680679321289,4.686295986175537,422.13141918182373,73.51946830749512,,,,,,,,
Synonyms,0.08535385131835938,6.001710891723633,423.2584834098816,74.32347536087036,0.0,0.5,0.125,0.5,0.0,0.5,0.0,0.5
Typo Robustness,0.07534027099609375,4.910171031951904,428.6661744117737,74.48989152908325,0.41666666666666663,0.375,0.75,0.5833333333333334,0.25,0.25,0.75,0.5
