,Average Latency (ms),Average Latency (ms),Average Latency (ms),Average Latency (ms),MRR,MRR,MRR,MRR,Accuracy@1,Accuracy@1,Accuracy@1,Accuracy@1
Model,BM25 (Sparse),Bi-Encoder (Dense),Cross-Encoder (Context),Two-Stage (Dense + CE),BM25 (Sparse),Bi-Encoder (Dense),Cross-Encoder (Context),Two-Stage (Dense + CE),BM25 (Sparse),Bi-Encoder (Dense),Cross-Encoder (Context),Two-Stage (Dense + CE)
Category,,,,,,,,,,,,
Contextual Trap,0.10919570922851562,5.249619483947754,384.88125801086426,71.44397497177124,0.29166666666666663,0.5,0.08333333333333333,0.375,0.0,0.25,0.0,0.25
Exact Keyword,0.10383129119873047,7.253170013427734,366.4066791534424,69.48775053024292,0.5,0.875,0.875,0.875,0.5,0.75,0.75,0.75
Out of Domain,0.0680685043334961,7.662296295166016,368.3863878250122,82.92883634567261,,,,,,,,
Synonyms,0.08624792098999023,7.250785827636719,371.23286724090576,71.03592157363892,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
Typo Robustness,0.07659196853637695,6.199657917022705,373.7613558769226,72.31807708740234,0.375,0.375,0.75,0.5833333333333334,0.0,0.25,0.75,0.5
